Seed,Cigr_CD,Cire_CD,EVI2_CD,NDRE_CD,NDVI_CD,Cigr_CV,Cire_CV,EVI2_CV,NDRE_CV,NDVI_CV,CHM,Maize_high,N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed Per Area (m3/dunam),Uv radiation,Evapotranspiration,Daily rain,Rain rate,Humidity,Wind speed,Temperature
7.76,1.797638042,0.44201343,1.152743311,0.179456569,0.588068643,1.209160958,0.297315349,0.775379789,0.120709438,0.395557742,0.672638724,1.42,0,1,2,6.4,38.1,26.4,10,1.96,7,0.66,0,0,68,3,32.9
12.1,2.378565034,0.597831812,1.373820297,0.227001477,0.669505409,1.850849751,0.465195126,1.069020573,0.176638276,0.520967012,0.778137123,1.87,1,1,3,6.6,38,24.6,19,9.4,7.8,2.67,0,0,51,3,36.9
10.1,2.400805902,0.59085811,1.420705015,0.226661365,0.688717782,2.743173967,0.675117711,1.623305328,0.258984517,0.786932708,1.142605474,1.38,0,1,2,7,40,16.8,11,1.96,4.4,0.2,0,0,74,9,31.2
5.71,1.460942986,0.329219474,0.862518355,0.13831272,0.463932109,0.903235718,0.203541679,0.533256529,0.08551257,0.286828477,0.618255282,1.85,0,0,0,6.7,41,13,0,7.51,8.1,1.27,0,0,62,6,34.7
4.24,1.16414551,0.252539647,0.681468261,0.108718608,0.376080878,0.701244873,0.152121991,0.410495183,0.065488692,0.226539367,0.602368748,1.35,0,1,2,6.6,39.5,19.8,10,1.96,5.3,0.66,0,0,73,8,31.5
4.64,1.237111694,0.275293086,0.694964429,0.116595161,0.379123129,0.866056901,0.192722677,0.48651932,0.081624032,0.265410313,0.700063628,1.13,2,3,7,6.4,39.2,15.9,37,1.96,5.8,0.66,0,0,70,9,32.1
8.39,2.01356299,0.493503921,1.16358155,0.192187585,0.582380724,1.898080188,0.465200254,1.096847279,0.181165153,0.548979753,0.942647534,1.1,0,0,0,6.6,42,15,0,7.51,8.5,1.27,0,0,63,1,34.7
2.2,1.145081006,0.246151087,0.646089603,0.107369095,0.363031991,0.715012315,0.153701841,0.40343174,0.067043488,0.2266847,0.624420728,1.38,0,1,2,7,40,16.8,11,1.96,4.4,0.2,0,0,74,9,31.2
3.21,0.941813123,0.201880957,0.534772871,0.087912779,0.300690796,0.610056721,0.130767805,0.346397577,0.056945248,0.194771591,0.647747102,1.86,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
5.23,1.347217788,0.304628644,0.804968687,0.128648286,0.434647652,0.640222809,0.144765166,0.382536008,0.061136045,0.206552603,0.475218495,1.38,0,1,2,6.5,39.6,19.8,12,1.96,5.5,0.66,0,0,70,3,31.8
3.82,1.037533139,0.229248122,0.647786982,0.10009255,0.358824595,0.376805442,0.083257042,0.235259628,0.036351048,0.130315896,0.363174368,1.1,0,0,0,6.6,42,15,0,7.51,8.5,1.27,0,0,63,1,34.7
4.32,1.143144021,0.255377678,0.691686525,0.11029856,0.381710895,0.583248792,0.130297425,0.352908577,0.056275938,0.194754479,0.51021462,1.2,0,0,0,6.2,39.3,20.7,0,1.96,6.3,0.66,0,0,71,3,31.9
4.38,1.205336376,0.255876706,0.69837842,0.111349708,0.38953774,0.742384571,0.157598262,0.430141639,0.068581938,0.239922078,0.615914848,1.5,0,1,2,6.7,40.4,15.8,10,7.51,7.6,1.27,0,0,67,0,33.6
5.3,1.235665362,0.285056454,0.740997743,0.120651165,0.402582524,0.489708774,0.112971239,0.293666156,0.047815481,0.159548208,0.396311808,1.38,0,1,2,6.5,39.6,19.8,12,1.96,5.5,0.66,0,0,70,3,31.8
5.2,1.325714669,0.299362456,0.798641119,0.127929723,0.433879873,0.857083566,0.193539867,0.516326925,0.082707438,0.280506294,0.646506813,1.58,12,17,35,6.5,41,25,181,9.4,8.5,1.98,0,0,59,6,35.7
9.5,2.37154519,0.558293587,1.290576911,0.214667025,0.638776408,1.95613102,0.460499512,1.06451167,0.177064653,0.526884477,0.824833964,1.58,12,17,35,6.5,41,25,181,9.4,8.5,1.98,0,0,59,6,35.7
11.15,2.800644514,0.689402364,1.376877118,0.247832159,0.667070184,2.770050973,0.681871505,1.361836457,0.245124902,0.659783276,0.98907625,2.19,9,13,27,6.3,39.5,22,137,9.4,8.6,1.98,0,0,60,4,35.2
11.49,2.870556748,0.692373681,1.495164861,0.254682888,0.713125461,2.162645988,0.521626742,1.126440816,0.191875296,0.537260905,0.753389038,1.57,0,0,1,6.4,39,16.9,7,1.96,5.3,0.66,0,0,73,8,31.5
10.13,2.535825534,0.602177263,1.364926605,0.227343458,0.665599325,2.06621135,0.490658951,1.112153343,0.185241306,0.542335765,0.814808165,1.1,1,2,4,6.2,39,25,23,9.4,7,2.67,0,0,55,1,36.6
13.6,2.828345411,0.667454065,1.495440323,0.248073835,0.713820922,2.729916248,0.644226016,1.44339755,0.239440625,0.688979262,0.96519903,2,3,5,10,6.7,38,25.3,57,9.4,8.4,1.98,0,0,55,6,36
11.17,2.696367854,0.675676668,1.42604036,0.248306659,0.685438465,2.771377681,0.694473209,1.465711149,0.255214262,0.704506568,1.02781884,1.07,2,2,5,6.5,39,26.5,30,9.4,8.1,2.67,0,0,55,0,36.2
4.83,1.312814123,0.279618751,0.775760807,0.120584002,0.425468877,0.843736856,0.179709101,0.498576282,0.077498532,0.273446002,0.642693311,1.01,0,0,0,6.8,39.2,14.8,0,7.51,8.2,1.98,0,0,61,0,35.1
3.98,1.101094489,0.236374552,0.667248947,0.103482439,0.372360148,0.516283447,0.110831786,0.312861057,0.048521058,0.174592991,0.468882055,1.35,0,1,2,6.6,39.5,19.8,10,1.96,5.3,0.66,0,0,73,8,31.5
5.84,1.587869692,0.33542545,0.90960518,0.14076422,0.483825016,1.237649744,0.261444138,0.708983,0.109717316,0.377112751,0.779440372,1.13,2,3,7,6.4,39.2,15.9,37,1.96,5.8,0.66,0,0,70,9,32.1
